institutioncode	museum_location	scientificname	collector	year	locality	uniquekey	
UCBG     	350	Quercus	Bartholomew, B. & D.E. Breedlove	1981	Unspecified	UCBGMexico/Central America81.1008	
UCBG     	351	Quercus	Bartholomew, B. & D.E. Breedlove	1981	Unspecified	UCBGMexico/Central America81.1008	
UCBG     	358	Quercus	Bartholomew, B. & D.E. Breedlove	1981	Unspecified	UCBGMexico/Central America81.1008	
UCBG     	359	Quercus	Bartholomew, B. & D.E. Breedlove	1981	Unspecified	UCBGMexico/Central America81.1008	
UCBG     	360	Quercus	Bartholomew, B. & D.E. Breedlove	1981	Unspecified	UCBGMexico/Central America81.1008	
UCBG     	362	Quercus	Bartholomew, B. & D.E. Breedlove	1981	Unspecified	UCBGMexico/Central America81.1008	
UCBG     	361	Quercus laurina Humb. & Bonpl.	Unspecified	1982	Unspecified	UCBGMexico/Central America82.0162	
UCBG     	28B	Quercus berberidifolia Liebm.	Bartholomew, B.	1977	Unspecified	UCBGCalifornian-Chaparral82.0139	
UCBG     	29	Quercus berberidifolia Liebm.	Bartholomew, B.	1977	Unspecified	UCBGCalifornian-Chaparral82.0139	
UCBG     	901	Quercus chrysolepis Liebm.	Bartholomew, B.	1975	Unspecified	UCBGMather Redwood Grove82.0585	
UCBG     	922A	Quercus chrysolepis Liebm.	Bartholomew, B.	1975	Unspecified	UCBGMather Redwood Grove82.0585	
UCBG     	32	Quercus garryana Douglas ex Hook.	Bartholomew, B.	1977	Unspecified	UCBGCalifornian-Oak Woodland82.0586	
UCBG     	309	Quercus lyrata Walter	B. Bartholomew, et al	1982	Unspecified	UCBGEastern North America82.2120	
UCBG     	29	Quercus chrysolepis Liebm.	Raiche, R. & K. Zadnik	1981	Unspecified	UCBGCalifornian-Chaparral83.0033	
UCBG     	171B	Quercus cedrosensis	Prigge, B. & D. Verity,	1983	Unspecified	UCBGNew World Desert - Baja Calif.83.1155	
UCBG     	32	Quercus x morehus	Raiche, R.	1983	Unspecified	UCBGCalifornian-Oak Woodland83.1341	
UCBG     	32	Quercus	Raiche, R.	1983	Unspecified	UCBGCalifornian-Oak Woodland83.1377	
UCBG     	25	Quercus agrifolia Nee	Unspecified	Unspecified	Unspecified	UCBGCalifornian-Chaparral83.1431	
