spec_id	specno	ucmp_coll	class	genus	species	subspecies	other_id	type_status	period	epoch	loc_ID_num	loc_name	county_std	state_prov_std	country_std	cont_ocean	pic	access	

PBCL106	BCL106	P	Magnoliopsida	Peraphyllum	ramosissimum						CL95	Harney Co.	Harney County	Oregon	United States	North America		yes
V28	28	V	Mammalia						Tertiary	Miocene	-900	Paulina W	Crook County	Oregon	United States	North America		yes
P29	29	P	Magnoliopsida	Carpinus	grandis			plesiotype	Tertiary	Oligocene	3748	Grays Ranch XI	Crook County	Oregon	United States	North America		yes
V29	29	V	Mammalia				Oreodonta		Tertiary	Oligocene	V6518	John Day General		Oregon	United States	North America		yes
P30	30	P	Magnoliopsida	Carpinus	grandis			plesiotype	Tertiary	Oligocene	3748	Grays Ranch XI	Crook County	Oregon	United States	North America		yes
V30	30	V	Mammalia				Oreodonta		Tertiary	Oligocene	V6518	John Day General		Oregon	United States	North America		yes
P31	31	P	Magnoliopsida	Carpinus	grandis			plesiotype	Tertiary	Oligocene	3748	Grays Ranch XI	Crook County	Oregon	United States	North America		yes
V31	31	V	Mammalia						Tertiary	Miocene	-815	JCM 2	Wheeler County	Oregon	United States	North America		yes
P32	32	P	Magnoliopsida	Carpinus	grandis			plesiotype	Tertiary	Oligocene	132	Chapman Ranch I	Wheeler County	Oregon	United States	North America		yes
V32	32	V	Mammalia				Oreodonta		Tertiary	Oligocene	V6518	John Day General		Oregon	United States	North America		yes
P33	33	P	Magnoliopsida	Carpinus	grandis			plesiotype	Tertiary	Oligocene	3748	Grays Ranch XI	Crook County	Oregon	United States	North America		yes
P34	34	P	Magnoliopsida	Ostrya	oregoniana			holotype	Tertiary	Oligocene	3748	Grays Ranch XI	Crook County	Oregon	United States	North America		yes
V34	34	V	Mammalia	Eporeodon					Tertiary	Oligocene	-818	Turtle Cove 1	Grant County	Oregon	United States	North America		yes
P35	35	P	Magnoliopsida	Ostrya	oregoniana			paratype	Tertiary	Oligocene	3748	Grays Ranch XI	Crook County	Oregon	United States	North America		yes
V35	35	V	Mammalia						Tertiary	Miocene	-815	JCM 2	Wheeler County	Oregon	United States	North America		yes
P36	36	P	Magnoliopsida	Ostrya	oregoniana			paratype	Tertiary	Oligocene	3748	Grays Ranch XI	Crook County	Oregon	United States	North America		yes
V36	36	V	Mammalia	Diceratherium					Tertiary	Oligocene	-823	JCM 5		Oregon	United States	North America		yes
P37	37	P	Magnoliopsida	Ostrya	oregoniana			paratype	Tertiary	Oligocene	3748	Grays Ranch XI	Crook County	Oregon	United States	North America		yes
V37	37	V	Mammalia	Merychippus				PUBL	Tertiary	Miocene	-896	Osmont 6	Crook County	Oregon	United States	North America		yes
P38	38	P	Magnoliopsida	Ostrya	oregoniana			paratype	Tertiary	Oligocene	136	Grays Ranch IX	Crook County	Oregon	United States	North America		yes
V38	38	V	Mammalia	Mammut					Tertiary	Miocene	-815	JCM 2	Wheeler County	Oregon	United States	North America		yes
P39	39	P	Magnoliopsida	Alnus	carpinoides			plesiotype	Tertiary	Oligocene	3748	Grays Ranch XI	Crook County	Oregon	United States	North America		yes
V39	39	V	Mammalia				Oreodonta		Tertiary	Oligocene	V6518	John Day General		Oregon	United States	North America		yes
P40	40	P	Magnoliopsida	Fagus	pacifica			paratype	Tertiary	Oligocene	3748	Grays Ranch XI	Crook County	Oregon	United States	North America		yes
V40	40	V	Mammalia				Oreodonta		Tertiary	Oligocene	V6518	John Day General		Oregon	United States	North America		yes
P41	41	P	Magnoliopsida	Fagus	pacifica			paratype	Tertiary	Oligocene	3748	Grays Ranch XI	Crook County	Oregon	United States	North America		yes
V41	41	V	Mammalia	Eporeodon					Tertiary		-802	Sugar Loaf	Wheeler County	Oregon	United States	North America		yes
P42	42	P	Magnoliopsida	Fagus	pacifica			paratype	Tertiary	Oligocene	3929	Grays Ranch XVII	Crook County	Oregon	United States	North America		yes
V42	42	V	Mammalia	Entoptychus					Tertiary		-828	Naylan 1	Grant County	Oregon	United States	North America		yes
