MBIO5613	Tapinoma melanocephalum		Arthropoda	Insecta	Hymenoptera	Formicidae	Tapinoma	melanocephalum		Anne Duplouy	2006	Butterfly breeding office (Gump station-Pihaena)		0	-149.82647	-17.49000				375	WB_1024	5613
MBIO5614	Tapinoma melanocephalum		Arthropoda	Insecta	Hymenoptera	Formicidae	Tapinoma	melanocephalum		Anne Duplouy	2006	Butterfly breeding office (Gump station-Pihaena)		0	-149.82647	-17.49000				375	WB_1025	5614
MBIO5615	Tapinoma melanocephalum		Arthropoda	Insecta	Hymenoptera	Formicidae	Tapinoma	melanocephalum		Anne Duplouy	2006	Butterfly breeding office (Gump station-Pihaena)		0	-149.82647	-17.49000				375	WB_1026	5615
MBIO5616	Tapinoma melanocephalum		Arthropoda	Insecta	Hymenoptera	Formicidae	Tapinoma	melanocephalum		Anne Duplouy	2006	Butterfly breeding office (Gump station-Pihaena)		0	-149.82647	-17.49000				375	WB_1027	5616
MBIO5617	Acicnemis variegatus		Arthropoda	Insecta	Coleoptera	Curculionidae	Acicnemis	variegatus		Anne Duplouy	2006	Gump Research station (Pihaena)		0	-149.82664	-17.49050				334	WB_1028	5617
MBIO5618	Evania appendigaster		Arthropoda	Insecta	Hymenoptera	Evaniidae	Evania	appendigaster		Anne Duplouy	2006	Butterfly breeding office (Gump station-Pihaena)		0	-149.82647	-17.49000				375	WB_1029	5618
MBIO5619	Ornidia obesa		Arthropoda	Insecta	Diptera	Syrphidae	Ornidia	obesa		Anne Duplouy	2006	Butterfly breeding office (Gump station-Pihaena)		0	-149.82647	-17.49000				375	WB_1030	5619
MBIO5620	Polistes olivaceus		Arthropoda	Insecta	Hymenoptera	Vespidae	Polistes	olivaceus		Anne Duplouy	2006	Gump Research station (Pihaena)		0	-149.82664	-17.49050				334	WB_1031	5620
MBIO5621	Protaetia fusca		Arthropoda	Insecta	Coleoptera	Scarabaeidae	Protaetia	fusca		Anne Duplouy	2006	Butterfly cage		0	-149.82647	-17.49000				378	WB_1032	5621
MBIO5622	Teleogryllus oceanicus		Arthropoda	Insecta	Orthoptera	Gryllidae	Teleogryllus	oceanicus		Anne Duplouy	2006	Anne's place (Pihaena)		0	-149.82967	-17.49153				333	WB_1033	5622
MBIO5623	Scymnodes lividigaster		Arthropoda	Insecta	Coleoptera	Coccinellidae	Scymnodes	lividigaster		Anne Duplouy	2006	Gump Research station (Pihaena)		0	-149.82664	-17.49050				334	WB_1034	5623
MBIO5624	Scymnodes lividigaster		Arthropoda	Insecta	Coleoptera	Coccinellidae	Scymnodes	lividigaster		Anne Duplouy	2006	Gump Research station (Pihaena)		0	-149.82664	-17.49050				334	WB_1035	5624
MBIO5625			Arthropoda	Arachnida	Araneae					Anne Duplouy	2006	Gump Research station (Pihaena)		0	-149.82664	-17.49050				334	WB_1036	5625
MBIO5626			Arthropoda	Insecta	Hymenoptera	Formicidae				Anne Duplouy	2006	Gump Research station (Pihaena)		0	-149.82664	-17.49050				334	WB_1037	5626
MBIO5627			Arthropoda	Insecta	Hymenoptera	Formicidae				Anne Duplouy	2006	Gump Research station (Pihaena)		0	-149.82664	-17.49050				334	WB_1038	5627
MBIO5628			Arthropoda	Insecta	Hymenoptera	Formicidae				Anne Duplouy	2006	Gump Research station (Pihaena)		0	-149.82664	-17.49050				334	WB_1039	5628
MBIO5629			Arthropoda	Insecta	Hymenoptera	Formicidae				Anne Duplouy	2006	Gump Research station (Pihaena)		0	-149.82664	-17.49050				334	WB_1040	5629
MBIO5630	Solenopsis geminata		Arthropoda	Insecta	Hymenoptera	Formicidae	Solenopsis	geminata		Anne Duplouy	2006	Gump Research station (Pihaena)		0	-149.82664	-17.49050				334	WB_1041	5630
MBIO5631	Solenopsis geminata		Arthropoda	Insecta	Hymenoptera	Formicidae	Solenopsis	geminata		Anne Duplouy	2006	Gump Research station (Pihaena)		0	-149.82664	-17.49050				334	WB_1042	5631
MBIO5632	Solenopsis geminata		Arthropoda	Insecta	Hymenoptera	Formicidae	Solenopsis	geminata		Anne Duplouy	2006	Gump Research station (Pihaena)		0	-149.82664	-17.49050				334	WB_1043	5632
MBIO5633			Arthropoda	Insecta	Homoptera					Anne Duplouy	2006	Gump Research station (Pihaena)		0	-149.82664	-17.49050				334	WB_1044	5633
MBIO5634			Arthropoda	Arachnida	Araneae					Anne Duplouy	2006	Gump Research station (Pihaena)		0	-149.82664	-17.49050				334	WB_1045	5634
MBIO5635			Arthropoda	Insecta	Diptera					Anne Duplouy	2006	Butterfly breeding office (Gump station-Pihaena)		0	-149.82647	-17.49000				375	WB_1046	5635
MBIO5636	Balta notulata		Arthropoda	Insecta	Dictyoptera	Blattellidae	Balta	notulata		Anne Duplouy	2006	Butterfly breeding office (Gump station-Pihaena)		0	-149.82647	-17.49000				375	WB_1047	5636
MBIO5637			Arthropoda	Insecta	Lepidoptera					Anne Duplouy	2006	Anne's place (Pihaena)		0	-149.82967	-17.49153				333	WB_1048	5637
MBIO5638			Arthropoda	Insecta						Anne Duplouy	2006	Anne's place (Pihaena)		0	-149.82967	-17.49153				333	WB_1049	5638
MBIO5639			Arthropoda	Insecta	Heteroptera					Anne Duplouy	2006	Anne's place (Pihaena)		0	-149.82967	-17.49153				333	WB_1050	5639
MBIO5640			Arthropoda	Insecta	Heteroptera					Anne Duplouy	2006	Anne's place (Pihaena)		0	-149.82967	-17.49153				333	WB_1051	5640
MBIO5641			Arthropoda	Insecta	Heteroptera					Anne Duplouy	2006	Anne's place (Pihaena)		0	-149.82967	-17.49153				333	WB_1052	5641
MBIO5642			Arthropoda	Insecta	Heteroptera					Anne Duplouy	2006	Anne's place (Pihaena)		0	-149.82967	-17.49153				333	WB_1053	5642
MBIO5643			Arthropoda	Insecta	Heteroptera					Anne Duplouy	2006	Anne's place (Pihaena)		0	-149.82967	-17.49153				333	WB_1054	5643
MBIO5644			Arthropoda	Insecta	Thysanoptera	Phlaeothripidae				Anne Duplouy	2006	Anne's place (Pihaena)		0	-149.82967	-17.49153				333	WB_1055	5644
MBIO5645			Arthropoda	Insecta	Thysanoptera	Phlaeothripidae				Anne Duplouy	2006	Anne's place (Pihaena)		0	-149.82967	-17.49153				333	WB_1056	5645
MBIO5646			Arthropoda	Insecta	Thysanoptera	Phlaeothripidae				Anne Duplouy	2006	Anne's place (Pihaena)		0	-149.82967	-17.49153				333	WB_1057	5646
MBIO5647			Arthropoda	Insecta	Coleoptera	Curculionidae				Anne Duplouy	2006	Anne's place (Pihaena)		0	-149.82967	-17.49153				333	WB_1058	5647
MBIO5648			Arthropoda	Arachnida	Araneae					Anne Duplouy	2006	Anne's place (Pihaena)		0	-149.82967	-17.49153				333	WB_1059	5648
MBIO5649	Agallia		Arthropoda	Insecta	Hemiptera	Cicadellidae	Agallia			Anne Duplouy	2006	Anne's place (Pihaena)		0	-149.82967	-17.49153				333	WB_1060	5649
MBIO5650			Arthropoda	Insecta	Orthoptera	Tettigoniidae				Anne Duplouy	2006	Anne's place (Pihaena)		0	-149.82967	-17.49153				333	WB_1061	5650
MBIO5651			Arthropoda	Insecta	Heteroptera					Anne Duplouy	2006	Anne's place (Pihaena)		0	-149.82967	-17.49153				333	WB_1062	5651
MBIO5652			Arthropoda	Insecta	Heteroptera					Anne Duplouy	2006	Anne's place (Pihaena)		0	-149.82967	-17.49153				333	WB_1063	5652
MBIO5653			Arthropoda	Insecta	Heteroptera					Anne Duplouy	2006	Anne's place (Pihaena)		0	-149.82967	-17.49153				333	WB_1064	5653
MBIO5654			Arthropoda	Insecta	Heteroptera					Anne Duplouy	2006	Anne's place (Pihaena)		0	-149.82967	-17.49153				333	WB_1065	5654
MBIO5655			Arthropoda	Arachnida	Acarina					Anne Duplouy	2006	Anne's place (Pihaena)		0	-149.82967	-17.49153				333	WB_1066	5655
MBIO5656			Arthropoda	Arachnida	Araneae					Anne Duplouy	2006	Anne's place (Pihaena)		0	-149.82967	-17.49153				333	WB_1067	5656
MBIO5657			Arthropoda	Insecta	Thysanoptera	Phlaeothripidae				Anne Duplouy	2006	Anne's place (Pihaena)		0	-149.82967	-17.49153				333	WB_1068	5657
MBIO5658			Arthropoda	Insecta	Heteroptera					Anne Duplouy	2006	Anne's place (Pihaena)		0	-149.82967	-17.49153				333	WB_1069	5658
MBIO5659			Arthropoda	Insecta	Hymenoptera					Anne Duplouy	2006	Anne's place (Pihaena)		0	-149.82967	-17.49153				333	WB_1070	5659
MBIO5660			Arthropoda	Insecta	Diptera					Anne Duplouy	2006	Anne's place (Pihaena)		0	-149.82967	-17.49153				333	WB_1071	5660
MBIO5661			Arthropoda	Insecta	Diptera					Anne Duplouy	2006	Anne's place (Pihaena)		0	-149.82967	-17.49153				333	WB_1072	5661
MBIO5662	Platyzosteria nitida		Arthropoda	Insecta	Dictyoptera	Blattidae	Platyzosteria	nitida		Anne Duplouy	2006	Anne's place (Pihaena)		0	-149.82967	-17.49153				333	WB_1073	5662
MBIO5663	Homalodisca vitripennis		Arthropoda	Insecta	Hemiptera	Cicadelidae	Homalodisca	vitripennis		Anne Duplouy	2006	Anne's place (Pihaena)		0	-149.82967	-17.49153				333	WB_1074	5663
MBIO5664	Leptoglossus australis		Arthropoda	Insecta	Hemiptera	Coreidae	Leptoglossus	australis		Anne Duplouy	2006	Anne's place (Pihaena)		0	-149.82967	-17.49153				333	WB_1075	5664
MBIO5665			Arthropoda	Arachnida	Araneae					Anne Duplouy	2006	Anne's place (Pihaena)		0	-149.82967	-17.49153				333	WB_1076	5665
